content_id,page,partner,affiliate_clicks_28d,affiliate_sessions_28d,revenue_28d,pageviews_28d,sessions_28d_total,affiliate_clicks_per_1000_sessions,gsc_clicks_28d,gsc_impressions_28d,commercial_intent
cbt-9e2f5ffa1b6d,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,Booking,0,NULL,NULL,NULL,166,0.0,0,17,HOTEL
cbt-9e2f5ffa1b6d,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,Klook,0,NULL,NULL,NULL,166,0.0,0,17,HOTEL
cbt-9e2f5ffa1b6d,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,17,HOTEL
cbt-cfd5d7b39f09,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,Airalo,0,NULL,NULL,NULL,166,0.0,0,11,GENERAL
cbt-cfd5d7b39f09,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,11,GENERAL
cbt-cfd5d7b39f09,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,Booking,0,NULL,NULL,NULL,166,0.0,0,11,GENERAL
cbt-cfd5d7b39f09,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,Klook,0,NULL,NULL,NULL,166,0.0,0,11,GENERAL
cbt-cfd5d7b39f09,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,NordVPN,0,NULL,NULL,NULL,166,0.0,0,11,GENERAL
cbt-cfd5d7b39f09,https://www.chinaboundtravel.com/posts/chinese-language-survival-phrases-guide/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,11,GENERAL
cbt-302467d853db,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,11,CITY
cbt-302467d853db,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,Booking,0,NULL,NULL,NULL,166,0.0,0,11,CITY
cbt-302467d853db,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,Klook,0,NULL,NULL,NULL,166,0.0,0,11,CITY
cbt-302467d853db,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,Trip.com,0,NULL,NULL,NULL,166,0.0,0,11,CITY
cbt-550a6e3e929c,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,Airalo,0,NULL,NULL,NULL,166,0.0,0,11,FOOD
cbt-550a6e3e929c,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,11,FOOD
cbt-550a6e3e929c,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,Booking,0,NULL,NULL,NULL,166,0.0,0,11,FOOD
cbt-550a6e3e929c,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,Klook,0,NULL,NULL,NULL,166,0.0,0,11,FOOD
cbt-550a6e3e929c,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,NordVPN,0,NULL,NULL,NULL,166,0.0,0,11,FOOD
cbt-550a6e3e929c,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,11,FOOD
cbt-57d0b0208d3b,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,7,TOUR
cbt-57d0b0208d3b,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,Booking,0,NULL,NULL,NULL,166,0.0,0,7,TOUR
cbt-57d0b0208d3b,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,Klook,0,NULL,NULL,NULL,166,0.0,0,7,TOUR
cbt-57d0b0208d3b,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,7,TOUR
cbt-c59607760fee,https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,Airalo,0,NULL,NULL,NULL,166,0.0,0,6,FOOD
cbt-c59607760fee,https://www.chinaboundtravel.com/posts/chinese-street-food-a-first-timers-guide-to-night-markets-and-street-stalls/,Klook,0,NULL,NULL,NULL,166,0.0,0,6,FOOD
cbt-663ab3f3b0fa,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,Airalo,0,NULL,NULL,NULL,166,0.0,1,2,CITY
cbt-663ab3f3b0fa,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,Aviasales,0,NULL,NULL,NULL,166,0.0,1,2,CITY
cbt-663ab3f3b0fa,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,Booking,0,NULL,NULL,NULL,166,0.0,1,2,CITY
cbt-663ab3f3b0fa,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,Klook,0,NULL,NULL,NULL,166,0.0,1,2,CITY
cbt-663ab3f3b0fa,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,NordVPN,0,NULL,NULL,NULL,166,0.0,1,2,CITY
cbt-663ab3f3b0fa,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,SafetyWing,0,NULL,NULL,NULL,166,0.0,1,2,CITY
cbt-277de627eb2d,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,Airalo,0,NULL,NULL,NULL,166,0.0,0,1,CITY
cbt-277de627eb2d,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,1,CITY
cbt-277de627eb2d,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,Booking,0,NULL,NULL,NULL,166,0.0,0,1,CITY
cbt-277de627eb2d,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,Klook,0,NULL,NULL,NULL,166,0.0,0,1,CITY
cbt-277de627eb2d,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,Trip.com,0,NULL,NULL,NULL,166,0.0,0,1,CITY
cbt-ae69cb9f84b0,https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,Airalo,0,NULL,NULL,NULL,166,0.0,0,1,PAYMENT
cbt-ae69cb9f84b0,https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,1,PAYMENT
cbt-ae69cb9f84b0,https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,Booking,0,NULL,NULL,NULL,166,0.0,0,1,PAYMENT
cbt-ae69cb9f84b0,https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,Klook,0,NULL,NULL,NULL,166,0.0,0,1,PAYMENT
cbt-ae69cb9f84b0,https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,NordVPN,0,NULL,NULL,NULL,166,0.0,0,1,PAYMENT
cbt-ae69cb9f84b0,https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,1,PAYMENT
cbt-255af4ed003a,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,Airalo,0,NULL,NULL,NULL,166,0.0,0,1,PAYMENT
cbt-255af4ed003a,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,1,PAYMENT
cbt-255af4ed003a,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,Booking,0,NULL,NULL,NULL,166,0.0,0,1,PAYMENT
cbt-255af4ed003a,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,Klook,0,NULL,NULL,NULL,166,0.0,0,1,PAYMENT
cbt-255af4ed003a,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,NordVPN,0,NULL,NULL,NULL,166,0.0,0,1,PAYMENT
cbt-255af4ed003a,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,1,PAYMENT
cbt-d7747b73c978,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,Airalo,0,NULL,NULL,NULL,166,0.0,0,1,CITY
cbt-d7747b73c978,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,1,CITY
cbt-d7747b73c978,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,Booking,0,NULL,NULL,NULL,166,0.0,0,1,CITY
cbt-d7747b73c978,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,Klook,0,NULL,NULL,NULL,166,0.0,0,1,CITY
cbt-d7747b73c978,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,NordVPN,0,NULL,NULL,NULL,166,0.0,0,1,CITY
cbt-d7747b73c978,https://www.chinaboundtravel.com/posts/xian-terracotta-army-history-discovery-and-insider-tips/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,1,CITY
cbt-c885da2cf5d9,https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,Airalo,0,NULL,NULL,NULL,166,0.0,0,0,TOUR
cbt-c885da2cf5d9,https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,0,TOUR
cbt-c885da2cf5d9,https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,Booking,0,NULL,NULL,NULL,166,0.0,0,0,TOUR
cbt-c885da2cf5d9,https://www.chinaboundtravel.com/posts/7-day-china-itinerary-beijing-xian-shanghai-first-timers/,Klook,0,NULL,NULL,NULL,166,0.0,0,0,TOUR
cbt-0adceab18b53,https://www.chinaboundtravel.com/posts/alipay-for-foreigners-guide/,NONE,0,NULL,NULL,NULL,166,0.0,0,0,PAYMENT
cbt-07563e9b51cc,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,Airalo,0,NULL,NULL,NULL,166,0.0,0,0,PAYMENT
cbt-07563e9b51cc,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,0,PAYMENT
cbt-07563e9b51cc,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,Booking,0,NULL,NULL,NULL,166,0.0,0,0,PAYMENT
cbt-07563e9b51cc,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,Klook,0,NULL,NULL,NULL,166,0.0,0,0,PAYMENT
cbt-07563e9b51cc,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,NordVPN,0,NULL,NULL,NULL,166,0.0,0,0,PAYMENT
cbt-07563e9b51cc,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,0,PAYMENT
cbt-d701fb08eb7b,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,Airalo,0,NULL,NULL,NULL,166,0.0,0,0,INSURANCE
cbt-d701fb08eb7b,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,Allianz,0,NULL,NULL,NULL,166,0.0,0,0,INSURANCE
cbt-d701fb08eb7b,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,0,INSURANCE
cbt-d701fb08eb7b,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,Klook,0,NULL,NULL,NULL,166,0.0,0,0,INSURANCE
cbt-d701fb08eb7b,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,0,INSURANCE
cbt-d701fb08eb7b,https://www.chinaboundtravel.com/posts/best-travel-insurance-china/,World Nomads,0,NULL,NULL,NULL,166,0.0,0,0,INSURANCE
cbt-02a3e0d6ed4f,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,Airalo,0,NULL,NULL,NULL,166,0.0,0,0,CITY
cbt-02a3e0d6ed4f,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,Booking,0,NULL,NULL,NULL,166,0.0,0,0,CITY
cbt-02a3e0d6ed4f,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,Klook,0,NULL,NULL,NULL,166,0.0,0,0,CITY
cbt-02a3e0d6ed4f,https://www.chinaboundtravel.com/posts/china-airport-transfer-guide/,Trip.com,0,NULL,NULL,NULL,166,0.0,0,0,CITY
cbt-74e8424894c4,https://www.chinaboundtravel.com/posts/china-bargaining-and-shopping-guide/,NONE,0,NULL,NULL,NULL,166,0.0,0,0,GENERAL
cbt-49088019c529,https://www.chinaboundtravel.com/posts/china-family-travel-tips-a-californians-guide/,NONE,0,NULL,NULL,NULL,166,0.0,0,0,GENERAL
cbt-cc4549872c92,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,Airalo,0,NULL,NULL,NULL,166,0.0,0,0,TRAIN
cbt-cc4549872c92,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,0,TRAIN
cbt-cc4549872c92,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,Klook,0,NULL,NULL,NULL,166,0.0,0,0,TRAIN
cbt-cc4549872c92,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,0,TRAIN
cbt-cc4549872c92,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,Trip.com,0,NULL,NULL,NULL,166,0.0,0,0,TRAIN
